Exercise_ID,Exercise_Name,Body_Part,Condition,Equipment,Reps_Sets,Duration,Intensity_Level,Goal
28,Knee Extensions,Hip,Post Surgery,Resistance Band,5x20,25 min,Low,Increase flexibility
29,Heel Slides,Wrist,Arthritis,Resistance Band,4x15,24 min,Low,Improve balance
30,Quad Sets,Arm,Arthritis,Ball,2x16,25 min,High,Improve circulation
31,Hamstring Curl,Back,Post Fracture,Resistance Band,5x15,17 min,High,Improve circulation
32,Shoulder Flexion,Knee,Stroke Recovery,Resistance Band,5x10,24 min,High,Reduce pain
33,Lunges,Arm,Post Surgery,Ball,3x14,9 min,High,Improve circulation
34,Toe Raises,Ankle,Post Fracture,Mat,3x16,24 min,High,Improve circulation
35,Trunk Rotation,Ankle,Post Fracture,Resistance Band,3x19,23 min,Medium,Strengthen muscles
36,Wrist Flexion,Leg,Stroke Recovery,Wall,3x10,14 min,High,Improve circulation
37,Calf Raises,Leg,Arthritis,Ball,5x14,8 min,High,Rehabilitation
38,Hamstring Curl,Hip,Sports Injury,Ball,3x8,20 min,High,Improve mobility
39,Hamstring Curl,Neck,Mobility Issue,Resistance Band,2x16,12 min,Low,Improve balance
40,Pelvic Tilt,Ankle,Stiffness,Resistance Band,2x15,13 min,Low,Improve circulation
41,Bridging,Shoulder,Stiffness,Ball,4x10,17 min,Medium,Strengthen muscles
42,Neck Stretch,Ankle,Muscle Weakness,Ball,5x15,5 min,Low,Increase flexibility
43,Wrist Flexion,Ankle,Sports Injury,Wall,4x10,15 min,Medium,Rehabilitation
44,Trunk Rotation,Back,Muscle Weakness,Chair,5x19,15 min,Medium,Reduce pain
45,Heel Slides,Shoulder,Sports Injury,Chair,4x14,21 min,Medium,Increase flexibility
46,Finger Stretch,Neck,Post Surgery,Resistance Band,5x17,21 min,Low,Reduce pain
47,Wrist Flexion,Ankle,Post Fracture,Dumbbell,4x10,22 min,Medium,Improve mobility
48,Neck Stretch,Shoulder,Muscle Weakness,Wall,5x18,6 min,Medium,Reduce pain
49,Trunk Rotation,Arm,Mobility Issue,Resistance Band,5x18,11 min,Low,Improve circulation
50,Calf Raises,Core,Muscle Weakness,Dumbbell,5x14,20 min,High,Improve balance
51,Bridging,Core,Stroke Recovery,Ball,2x16,25 min,Medium,Reduce pain
52,Seated Marching,Core,Sports Injury,Wall,3x9,7 min,Low,Improve mobility
53,Heel Slides,Shoulder,Sports Injury,Chair,4x10,10 min,Medium,Rehabilitation
54,Shoulder Flexion,Shoulder,Muscle Weakness,Chair,4x18,18 min,Low,Improve circulation
55,Finger Stretch,Wrist,Chronic Pain,Dumbbell,3x12,16 min,Low,Strengthen muscles
56,Pelvic Tilt,Ankle,Stiffness,Wall,2x18,23 min,Medium,Improve mobility
57,Neck Stretch,Arm,Chronic Pain,Resistance Band,2x18,20 min,Medium,Reduce pain
58,Wall Push-Ups,Hip,Arthritis,Wall,2x11,13 min,Medium,Rehabilitation
59,Ankle Pumps,Hip,Post Surgery,Chair,5x9,21 min,High,Strengthen muscles
60,Knee Extensions,Core,Muscle Weakness,Chair,3x17,22 min,Low,Rehabilitation
61,Wrist Flexion,Knee,Stiffness,Wall,4x14,10 min,Medium,Strengthen muscles
62,Seated Marching,Arm,Lower Back Pain,Mat,4x14,11 min,High,Strengthen muscles
63,Neck Stretch,Wrist,Arthritis,None,2x20,15 min,Medium,Increase flexibility
64,Wall Push-Ups,Shoulder,Mobility Issue,Resistance Band,3x13,16 min,Medium,Improve mobility
65,Wrist Flexion,Leg,Sports Injury,Resistance Band,2x14,17 min,High,Improve circulation
66,Bridging,Neck,Arthritis,Dumbbell,3x16,22 min,Medium,Strengthen muscles
67,Ankle Pumps,Back,Post Fracture,Wall,3x14,21 min,Medium,Improve balance
68,Hip Abduction,Wrist,Stroke Recovery,Mat,4x15,21 min,Medium,Improve mobility
69,Arm Circles,Back,Post Fracture,None,3x13,5 min,High,Reduce pain
70,Hip Abduction,Arm,Post Fracture,Chair,5x9,21 min,Low,Improve circulation
71,Heel Slides,Core,Muscle Weakness,Wall,5x11,18 min,Low,Strengthen muscles
72,Hip Abduction,Back,Sports Injury,None,2x18,19 min,Medium,Reduce pain
73,Calf Raises,Core,Chronic Pain,Dumbbell,3x11,8 min,High,Rehabilitation
74,Arm Circles,Knee,Chronic Pain,Chair,4x10,20 min,Low,Strengthen muscles
75,Lunges,Core,Chronic Pain,None,3x14,10 min,High,Increase flexibility
76,Sit to Stand,Wrist,Stroke Recovery,Ball,5x16,14 min,Medium,Improve circulation
77,Ankle Pumps,Knee,Sports Injury,Chair,2x9,9 min,High,Improve circulation
78,Shoulder Flexion,Neck,Stroke Recovery,Chair,4x9,14 min,Medium,Improve circulation
79,Hip Abduction,Ankle,Stroke Recovery,Resistance Band,4x10,15 min,Medium,Improve circulation
80,Wrist Flexion,Hip,Sports Injury,Resistance Band,5x12,13 min,Medium,Strengthen muscles
81,Knee Extensions,Wrist,Stiffness,Wall,4x13,11 min,High,Improve mobility
82,Hamstring Curl,Arm,Mobility Issue,Mat,3x13,14 min,Medium,Improve balance
83,Bridging,Leg,Stiffness,Ball,2x10,23 min,Low,Improve mobility
84,Trunk Rotation,Wrist,Arthritis,Chair,5x14,11 min,High,Improve mobility
85,Arm Circles,Neck,Mobility Issue,Resistance Band,3x16,15 min,High,Improve balance
86,Bridging,Hip,Mobility Issue,Dumbbell,2x12,24 min,Low,Improve circulation
87,Hamstring Curl,Leg,Chronic Pain,Ball,2x12,19 min,Low,Increase flexibility
88,Hip Abduction,Arm,Lower Back Pain,Dumbbell,4x15,23 min,Low,Improve balance
89,Trunk Rotation,Core,Sports Injury,Resistance Band,2x9,10 min,Low,Improve circulation
90,Bridging,Knee,Post Surgery,Dumbbell,3x9,24 min,Low,Strengthen muscles
91,Wall Push-Ups,Leg,Stiffness,Wall,2x13,10 min,Low,Strengthen muscles
92,Arm Circles,Wrist,Stroke Recovery,Chair,5x8,14 min,Medium,Strengthen muscles
93,Arm Circles,Core,Post Surgery,Ball,5x16,15 min,Medium,Strengthen muscles
94,Hamstring Curl,Leg,Arthritis,Ball,2x12,11 min,Low,Reduce pain
95,Arm Circles,Leg,Stroke Recovery,Dumbbell,2x20,25 min,Medium,Reduce pain
96,Pelvic Tilt,Ankle,Mobility Issue,Dumbbell,3x12,18 min,Medium,Improve mobility
97,Knee Extensions,Hip,Stiffness,Wall,2x14,25 min,Medium,Improve circulation
98,Finger Stretch,Leg,Mobility Issue,Dumbbell,4x19,25 min,Medium,Reduce pain
99,Trunk Rotation,Leg,Sports Injury,Resistance Band,3x14,19 min,High,Strengthen muscles
100,Seated Marching,Wrist,Stiffness,Dumbbell,5x14,18 min,Low,Increase flexibility
101,Sit to Stand,Leg,Mobility Issue,Mat,2x17,7 min,Medium,Rehabilitation
102,Trunk Rotation,Back,Stiffness,Wall,5x8,8 min,High,Increase flexibility
103,Hamstring Curl,Leg,Lower Back Pain,None,3x12,7 min,Low,Reduce pain
104,Lunges,Back,Mobility Issue,Mat,4x20,6 min,High,Strengthen muscles
105,Seated Marching,Shoulder,Lower Back Pain,Ball,2x17,21 min,High,Improve circulation
106,Toe Raises,Arm,Stiffness,Dumbbell,2x10,18 min,High,Improve balance
107,Heel Slides,Core,Muscle Weakness,Chair,2x14,15 min,Medium,Strengthen muscles
108,Bridging,Core,Mobility Issue,None,2x16,6 min,Low,Improve circulation
109,Finger Stretch,Back,Chronic Pain,None,2x8,19 min,High,Improve mobility
110,Wall Push-Ups,Ankle,Chronic Pain,Dumbbell,3x14,22 min,Medium,Reduce pain
111,Ankle Pumps,Neck,Post Surgery,None,3x20,23 min,High,Improve mobility
112,Toe Raises,Knee,Chronic Pain,Ball,4x13,20 min,Low,Increase flexibility
113,Hamstring Curl,Neck,Post Surgery,Chair,4x18,17 min,Low,Rehabilitation
114,Heel Slides,Shoulder,Post Fracture,Resistance Band,4x20,17 min,Medium,Reduce pain
115,Wrist Flexion,Back,Arthritis,None,2x8,9 min,High,Increase flexibility
116,Pelvic Tilt,Back,Muscle Weakness,Chair,2x14,9 min,High,Improve circulation
117,Hip Abduction,Leg,Post Surgery,Wall,5x17,17 min,Medium,Improve circulation
118,Trunk Rotation,Ankle,Post Fracture,Mat,3x18,9 min,Medium,Reduce pain
119,Wrist Flexion,Back,Chronic Pain,Ball,2x19,19 min,Medium,Increase flexibility
120,Heel Slides,Leg,Muscle Weakness,Ball,5x9,9 min,Low,Reduce pain
121,Wall Push-Ups,Core,Mobility Issue,Ball,5x12,9 min,Medium,Strengthen muscles
122,Ankle Pumps,Ankle,Sports Injury,Resistance Band,3x20,19 min,High,Rehabilitation
123,Finger Stretch,Leg,Sports Injury,Wall,4x17,15 min,High,Reduce pain
124,Lunges,Wrist,Mobility Issue,None,3x16,14 min,Medium,Improve mobility
125,Toe Raises,Neck,Lower Back Pain,Mat,2x19,17 min,Medium,Increase flexibility
126,Finger Stretch,Back,Chronic Pain,Chair,5x15,21 min,Medium,Improve circulation
127,Calf Raises,Hip,Stiffness,Wall,3x16,13 min,High,Improve mobility
128,Wrist Flexion,Shoulder,Mobility Issue,Wall,3x12,13 min,Medium,Improve balance
129,Seated Marching,Core,Mobility Issue,Mat,5x10,13 min,Low,Rehabilitation
130,Bridging,Neck,Chronic Pain,Ball,4x11,25 min,High,Improve balance
131,Hamstring Curl,Neck,Arthritis,Mat,2x18,10 min,High,Reduce pain
132,Hip Abduction,Back,Lower Back Pain,Wall,2x12,22 min,High,Improve balance
133,Pelvic Tilt,Neck,Sports Injury,Mat,5x11,12 min,Medium,Rehabilitation
134,Neck Stretch,Shoulder,Post Surgery,Wall,2x18,10 min,Medium,Reduce pain
135,Heel Slides,Wrist,Lower Back Pain,None,5x12,20 min,High,Improve balance
136,Ankle Pumps,Hip,Sports Injury,Dumbbell,4x8,10 min,Medium,Reduce pain
137,Neck Stretch,Shoulder,Mobility Issue,None,3x16,20 min,Low,Increase flexibility
138,Pelvic Tilt,Back,Mobility Issue,Mat,3x10,18 min,High,Improve mobility
139,Hamstring Curl,Leg,Muscle Weakness,None,2x14,11 min,Medium,Improve mobility
140,Shoulder Flexion,Wrist,Sports Injury,Ball,4x8,7 min,Low,Rehabilitation
141,Ankle Pumps,Leg,Stroke Recovery,None,3x9,25 min,Low,Improve balance
142,Heel Slides,Shoulder,Post Surgery,None,2x13,24 min,Low,Strengthen muscles
143,Bridging,Wrist,Muscle Weakness,Mat,5x16,22 min,High,Improve mobility
144,Heel Slides,Neck,Arthritis,None,5x20,21 min,Low,Reduce pain
145,Quad Sets,Back,Chronic Pain,Chair,3x11,6 min,High,Improve circulation
146,Arm Circles,Wrist,Lower Back Pain,None,5x11,6 min,Medium,Increase flexibility
147,Trunk Rotation,Hip,Chronic Pain,Ball,2x18,10 min,Medium,Improve balance
148,Bridging,Ankle,Lower Back Pain,Wall,2x14,15 min,Medium,Improve mobility
149,Wall Push-Ups,Back,Stroke Recovery,Resistance Band,4x16,17 min,Medium,Increase flexibility
150,Seated Marching,Back,Stroke Recovery,Wall,4x19,7 min,Medium,Increase flexibility
151,Trunk Rotation,Core,Lower Back Pain,Ball,3x17,21 min,High,Strengthen muscles
152,Ankle Pumps,Core,Sports Injury,Dumbbell,2x18,8 min,Low,Improve balance
153,Pelvic Tilt,Leg,Muscle Weakness,Resistance Band,3x19,20 min,Low,Improve circulation
154,Toe Raises,Neck,Arthritis,Chair,5x18,13 min,Low,Increase flexibility
155,Finger Stretch,Neck,Chronic Pain,Mat,3x8,23 min,Medium,Improve circulation
156,Shoulder Flexion,Arm,Muscle Weakness,None,4x9,16 min,High,Reduce pain
157,Shoulder Flexion,Arm,Sports Injury,None,5x11,20 min,High,Improve circulation
158,Knee Extensions,Knee,Stroke Recovery,Chair,5x14,25 min,High,Improve mobility
159,Knee Extensions,Back,Sports Injury,Ball,5x10,12 min,Low,Reduce pain
160,Neck Stretch,Leg,Arthritis,Resistance Band,5x14,5 min,Medium,Reduce pain
161,Hamstring Curl,Arm,Sports Injury,Chair,5x14,22 min,Low,Improve circulation
162,Heel Slides,Core,Muscle Weakness,Wall,4x16,14 min,Low,Rehabilitation
163,Trunk Rotation,Back,Muscle Weakness,Ball,2x8,17 min,High,Strengthen muscles
164,Finger Stretch,Hip,Post Surgery,Mat,2x15,6 min,Medium,Improve balance
165,Ankle Pumps,Ankle,Lower Back Pain,Resistance Band,3x11,8 min,Low,Increase flexibility
166,Finger Stretch,Core,Muscle Weakness,Wall,3x11,10 min,Medium,Improve balance
167,Toe Raises,Wrist,Lower Back Pain,Mat,4x16,23 min,Medium,Improve circulation
168,Hip Abduction,Leg,Stroke Recovery,Mat,4x13,17 min,High,Rehabilitation
169,Calf Raises,Hip,Post Fracture,None,3x15,12 min,Low,Strengthen muscles
170,Neck Stretch,Core,Mobility Issue,Chair,2x19,23 min,High,Reduce pain
171,Wall Push-Ups,Neck,Lower Back Pain,Mat,3x9,25 min,Low,Rehabilitation
172,Arm Circles,Back,Muscle Weakness,Mat,4x9,16 min,High,Improve circulation
173,Lunges,Neck,Sports Injury,Dumbbell,5x13,25 min,Medium,Improve balance
174,Knee Extensions,Wrist,Lower Back Pain,Wall,5x15,21 min,Medium,Increase flexibility
175,Lunges,Ankle,Chronic Pain,Chair,5x19,17 min,Low,Strengthen muscles
176,Hamstring Curl,Back,Arthritis,Ball,3x8,13 min,High,Improve mobility
177,Lunges,Ankle,Post Fracture,Dumbbell,3x16,8 min,High,Reduce pain
178,Seated Marching,Back,Stroke Recovery,Resistance Band,2x11,8 min,Low,Increase flexibility
179,Hip Abduction,Core,Chronic Pain,Mat,4x18,18 min,High,Increase flexibility
180,Wall Push-Ups,Knee,Sports Injury,Resistance Band,4x10,10 min,High,Strengthen muscles
181,Bridging,Neck,Chronic Pain,Chair,3x10,21 min,High,Improve mobility
182,Seated Marching,Neck,Post Surgery,Ball,3x12,16 min,Low,Strengthen muscles
183,Seated Marching,Knee,Arthritis,None,5x20,14 min,High,Improve mobility
184,Wall Push-Ups,Wrist,Stiffness,Dumbbell,2x15,21 min,Medium,Improve circulation
185,Bridging,Arm,Lower Back Pain,Chair,3x15,17 min,Low,Improve circulation
186,Arm Circles,Shoulder,Sports Injury,Dumbbell,4x18,24 min,High,Rehabilitation
187,Calf Raises,Leg,Post Surgery,Wall,4x13,10 min,Low,Improve balance
188,Calf Raises,Shoulder,Arthritis,Chair,3x9,21 min,Medium,Strengthen muscles
189,Toe Raises,Shoulder,Post Fracture,None,5x14,10 min,Low,Reduce pain
190,Seated Marching,Leg,Arthritis,Dumbbell,5x10,23 min,Low,Improve balance
191,Sit to Stand,Wrist,Stroke Recovery,None,4x11,14 min,High,Strengthen muscles
192,Shoulder Flexion,Knee,Mobility Issue,Mat,4x11,24 min,High,Reduce pain
193,Trunk Rotation,Wrist,Mobility Issue,Chair,4x19,17 min,High,Improve mobility
194,Bridging,Back,Muscle Weakness,Wall,5x20,14 min,Medium,Improve mobility
195,Lunges,Ankle,Post Fracture,Resistance Band,3x11,14 min,Low,Improve mobility
196,Ankle Pumps,Neck,Muscle Weakness,Mat,3x10,19 min,Medium,Strengthen muscles
197,Trunk Rotation,Shoulder,Post Surgery,Wall,3x19,11 min,Low,Improve circulation
198,Seated Marching,Arm,Stroke Recovery,Resistance Band,5x19,14 min,Low,Improve mobility
199,Finger Stretch,Knee,Stroke Recovery,Dumbbell,4x15,5 min,Low,Strengthen muscles
200,Shoulder Flexion,Back,Post Surgery,Mat,5x9,21 min,Low,Improve balance
201,Shoulder Flexion,Wrist,Arthritis,Mat,5x9,11 min,Low,Reduce pain
202,Arm Circles,Leg,Sports Injury,Resistance Band,4x8,16 min,Low,Improve mobility
203,Ankle Pumps,Core,Muscle Weakness,Ball,3x11,7 min,High,Improve circulation
204,Hip Abduction,Knee,Lower Back Pain,Chair,2x15,13 min,High,Strengthen muscles
205,Neck Stretch,Wrist,Lower Back Pain,Resistance Band,5x14,7 min,Medium,Rehabilitation
206,Wrist Flexion,Hip,Post Fracture,Resistance Band,2x19,19 min,Low,Improve balance
207,Hamstring Curl,Arm,Post Fracture,Ball,4x17,13 min,High,Improve mobility
208,Toe Raises,Core,Lower Back Pain,Wall,4x18,7 min,Low,Improve circulation
209,Pelvic Tilt,Shoulder,Muscle Weakness,Resistance Band,2x8,16 min,Low,Reduce pain
210,Wall Push-Ups,Ankle,Lower Back Pain,Ball,5x17,24 min,Medium,Improve balance
211,Pelvic Tilt,Knee,Muscle Weakness,Chair,4x15,17 min,High,Rehabilitation
212,Toe Raises,Arm,Arthritis,None,2x18,25 min,Low,Reduce pain
213,Wrist Flexion,Knee,Post Surgery,Resistance Band,4x9,11 min,Medium,Improve mobility
214,Shoulder Flexion,Back,Arthritis,None,5x8,11 min,Medium,Improve circulation
215,Quad Sets,Ankle,Muscle Weakness,Resistance Band,2x16,5 min,High,Increase flexibility
216,Seated Marching,Shoulder,Lower Back Pain,Dumbbell,5x15,14 min,High,Strengthen muscles
217,Hamstring Curl,Neck,Post Fracture,Wall,3x10,18 min,Low,Improve circulation
218,Neck Stretch,Neck,Muscle Weakness,Ball,4x17,10 min,Medium,Improve mobility
219,Hamstring Curl,Core,Muscle Weakness,None,4x18,10 min,Low,Improve mobility
220,Hamstring Curl,Knee,Chronic Pain,Chair,2x15,12 min,Medium,Rehabilitation
221,Heel Slides,Knee,Chronic Pain,Dumbbell,4x15,15 min,Low,Improve circulation
222,Arm Circles,Knee,Stiffness,Ball,4x16,10 min,Low,Improve balance
223,Pelvic Tilt,Hip,Post Surgery,Chair,3x14,12 min,High,Reduce pain
224,Arm Circles,Hip,Sports Injury,Dumbbell,4x14,13 min,Low,Improve balance
225,Ankle Pumps,Neck,Chronic Pain,Ball,4x13,12 min,High,Improve balance
226,Seated Marching,Back,Post Fracture,Ball,3x11,25 min,High,Improve mobility
227,Quad Sets,Knee,Post Surgery,None,2x8,19 min,High,Improve balance
228,Ankle Pumps,Knee,Sports Injury,Resistance Band,3x8,23 min,Medium,Increase flexibility
229,Toe Raises,Knee,Mobility Issue,Ball,4x15,7 min,Low,Increase flexibility
230,Seated Marching,Ankle,Muscle Weakness,Chair,5x14,17 min,Low,Improve balance
231,Wall Push-Ups,Wrist,Stiffness,Chair,5x15,8 min,Medium,Improve mobility
232,Seated Marching,Hip,Muscle Weakness,None,3x9,23 min,Medium,Reduce pain
233,Trunk Rotation,Knee,Post Surgery,None,2x10,6 min,High,Improve balance
234,Arm Circles,Back,Lower Back Pain,Chair,4x17,6 min,Medium,Rehabilitation
235,Knee Extensions,Neck,Stroke Recovery,Mat,5x20,14 min,Medium,Improve mobility
236,Pelvic Tilt,Wrist,Post Fracture,Mat,5x20,10 min,Medium,Improve circulation
237,Quad Sets,Core,Chronic Pain,Wall,4x13,19 min,High,Increase flexibility
238,Toe Raises,Knee,Arthritis,Chair,4x15,5 min,High,Rehabilitation
239,Wall Push-Ups,Neck,Sports Injury,Chair,3x19,14 min,Low,Improve balance
240,Trunk Rotation,Ankle,Chronic Pain,Wall,5x18,23 min,High,Improve mobility
241,Hamstring Curl,Hip,Mobility Issue,Dumbbell,2x8,10 min,Low,Improve mobility
242,Heel Slides,Ankle,Arthritis,Wall,2x15,9 min,High,Rehabilitation
243,Bridging,Knee,Sports Injury,Wall,5x15,15 min,Low,Improve mobility
244,Pelvic Tilt,Knee,Stroke Recovery,Chair,2x12,23 min,High,Reduce pain
245,Calf Raises,Ankle,Lower Back Pain,Dumbbell,5x14,9 min,High,Increase flexibility
246,Wrist Flexion,Hip,Post Surgery,Chair,2x11,24 min,Low,Improve mobility
247,Quad Sets,Shoulder,Post Fracture,None,3x16,11 min,Low,Improve circulation
248,Wrist Flexion,Arm,Post Fracture,Chair,4x9,23 min,Low,Improve circulation
249,Calf Raises,Knee,Stiffness,Mat,3x13,15 min,Medium,Improve mobility
250,Wall Push-Ups,Shoulder,Post Surgery,Resistance Band,4x16,23 min,Medium,Improve mobility
251,Trunk Rotation,Core,Stroke Recovery,Mat,5x13,8 min,Medium,Increase flexibility
252,Hamstring Curl,Leg,Sports Injury,Mat,3x8,6 min,Low,Rehabilitation
253,Bridging,Leg,Post Fracture,Mat,3x11,25 min,Low,Rehabilitation
254,Ankle Pumps,Knee,Stroke Recovery,Ball,4x19,16 min,Medium,Strengthen muscles
255,Ankle Pumps,Arm,Sports Injury,Resistance Band,2x11,6 min,Medium,Rehabilitation
256,Wall Push-Ups,Neck,Stroke Recovery,Ball,2x17,16 min,Low,Rehabilitation
257,Lunges,Wrist,Post Fracture,None,4x18,17 min,High,Rehabilitation
258,Knee Extensions,Core,Stiffness,Mat,4x16,23 min,Medium,Improve circulation
259,Neck Stretch,Arm,Muscle Weakness,Mat,2x16,19 min,Medium,Improve balance
260,Sit to Stand,Neck,Chronic Pain,Resistance Band,2x11,21 min,Medium,Improve mobility
261,Lunges,Hip,Chronic Pain,Chair,4x15,20 min,Medium,Increase flexibility
262,Ankle Pumps,Arm,Arthritis,Resistance Band,3x10,19 min,Low,Strengthen muscles
263,Trunk Rotation,Knee,Mobility Issue,Resistance Band,2x17,19 min,Medium,Rehabilitation
264,Sit to Stand,Leg,Lower Back Pain,Resistance Band,3x20,19 min,Low,Increase flexibility
265,Calf Raises,Core,Mobility Issue,Resistance Band,4x13,11 min,Low,Rehabilitation
266,Calf Raises,Arm,Muscle Weakness,Resistance Band,3x15,14 min,Low,Improve circulation
267,Shoulder Flexion,Hip,Post Fracture,Chair,4x15,24 min,Low,Improve circulation
268,Trunk Rotation,Leg,Stroke Recovery,Ball,2x11,6 min,High,Rehabilitation
269,Finger Stretch,Knee,Lower Back Pain,Resistance Band,3x18,5 min,Medium,Improve circulation
270,Hip Abduction,Wrist,Chronic Pain,Wall,3x9,16 min,Medium,Strengthen muscles
271,Quad Sets,Hip,Post Surgery,Chair,3x15,8 min,High,Rehabilitation
272,Neck Stretch,Neck,Muscle Weakness,Chair,5x14,23 min,High,Improve balance
273,Sit to Stand,Leg,Chronic Pain,Wall,5x13,12 min,Low,Strengthen muscles
274,Sit to Stand,Back,Sports Injury,Ball,3x20,16 min,High,Improve mobility
275,Seated Marching,Knee,Stiffness,Resistance Band,2x9,11 min,High,Strengthen muscles
276,Quad Sets,Leg,Sports Injury,Wall,3x9,24 min,Medium,Rehabilitation
277,Shoulder Flexion,Ankle,Muscle Weakness,Chair,4x18,15 min,High,Improve balance
278,Neck Stretch,Hip,Stroke Recovery,Ball,5x12,14 min,Low,Improve mobility
279,Wall Push-Ups,Neck,Muscle Weakness,Dumbbell,2x13,10 min,Medium,Improve circulation
280,Trunk Rotation,Shoulder,Stiffness,Resistance Band,5x8,10 min,Low,Reduce pain
281,Quad Sets,Wrist,Post Fracture,Ball,4x11,18 min,Low,Reduce pain
282,Trunk Rotation,Ankle,Sports Injury,None,5x14,7 min,Low,Strengthen muscles
283,Seated Marching,Hip,Arthritis,Ball,4x10,9 min,High,Improve mobility
284,Heel Slides,Hip,Muscle Weakness,Ball,4x13,16 min,Low,Improve mobility
285,Trunk Rotation,Hip,Stiffness,Wall,3x9,19 min,Medium,Increase flexibility
286,Wrist Flexion,Neck,Sports Injury,None,5x19,10 min,High,Improve circulation
287,Calf Raises,Leg,Mobility Issue,Dumbbell,3x15,12 min,Medium,Rehabilitation
288,Trunk Rotation,Knee,Sports Injury,Resistance Band,5x15,22 min,High,Rehabilitation
289,Sit to Stand,Wrist,Lower Back Pain,Ball,4x16,9 min,High,Improve balance
290,Toe Raises,Neck,Mobility Issue,Dumbbell,3x14,16 min,High,Improve balance
291,Calf Raises,Neck,Lower Back Pain,Resistance Band,4x20,5 min,High,Strengthen muscles
292,Heel Slides,Shoulder,Post Surgery,Resistance Band,4x11,12 min,Low,Improve mobility
293,Heel Slides,Hip,Post Fracture,Resistance Band,3x13,25 min,High,Improve mobility
294,Pelvic Tilt,Knee,Sports Injury,Dumbbell,5x15,18 min,Medium,Improve balance
295,Heel Slides,Arm,Muscle Weakness,Ball,3x17,7 min,Low,Improve balance
296,Quad Sets,Core,Arthritis,None,5x9,7 min,Low,Reduce pain
297,Trunk Rotation,Core,Stroke Recovery,Chair,5x16,11 min,High,Rehabilitation
298,Seated Marching,Ankle,Chronic Pain,Wall,2x8,14 min,High,Improve balance
299,Quad Sets,Arm,Arthritis,Chair,5x8,12 min,High,Improve balance
300,Knee Extensions,Hip,Post Fracture,None,2x12,21 min,High,Improve mobility
301,Lunges,Ankle,Chronic Pain,Wall,2x20,18 min,Low,Improve balance
302,Quad Sets,Core,Stroke Recovery,Wall,4x11,25 min,Low,Rehabilitation
303,Finger Stretch,Neck,Lower Back Pain,Chair,4x20,10 min,Medium,Improve mobility
304,Knee Extensions,Arm,Stroke Recovery,Ball,3x10,25 min,Medium,Strengthen muscles
305,Toe Raises,Wrist,Sports Injury,None,2x12,21 min,High,Rehabilitation
306,Toe Raises,Wrist,Mobility Issue,Wall,2x12,16 min,Low,Improve balance
307,Lunges,Knee,Post Fracture,Ball,5x9,17 min,Low,Improve circulation
308,Heel Slides,Wrist,Arthritis,Mat,3x17,10 min,Low,Reduce pain
309,Lunges,Hip,Post Fracture,Dumbbell,3x20,24 min,Low,Improve circulation
310,Calf Raises,Shoulder,Post Surgery,Wall,5x13,23 min,High,Increase flexibility
